Port,"Last Change",Name,"VLAN Membership","Node MAC","Archived Node","Node IP","Node DNS","Archived IP","Neighbor IP","Neighbor DNS","Port Setting","Port Status"
GigabitEthernet0/0,"2020-11-02 07:47:13",Gi0/0,,,,,,,,,Up,Down
GigabitEthernet1/0/1,"2020-11-02 07:47:16",Gi1/0/1,759,,,,,,,,Up,Down
GigabitEthernet1/0/2,"2020-11-02 07:47:16",Gi1/0/2,759,,,,,,,,Up,Down
GigabitEthernet1/0/3,"2020-11-02 07:47:16",Gi1/0/3,759,,,,,,,,Up,Down
GigabitEthernet1/0/4,"2020-11-02 07:47:16",Gi1/0/4,759,,,,,,,,Up,Down
GigabitEthernet1/0/5,"2020-11-02 07:47:16",Gi1/0/5,759,,,,,,,,Up,Down
GigabitEthernet1/0/6,"2020-11-02 07:47:16",Gi1/0/6,759,,,,,,,,Up,Down
GigabitEthernet1/0/7,"2020-11-02 07:47:16",Gi1/0/7,759,,,,,,,,Up,Down
GigabitEthernet1/0/8,"2020-11-02 07:47:16",Gi1/0/8,759,,,,,,,,Up,Down
GigabitEthernet1/0/9,"2020-11-02 07:47:16",Gi1/0/9,759,,,,,,,,Up,Down
GigabitEthernet1/0/10,"2020-11-02 07:47:16",Gi1/0/10,759,,,,,,,,Up,Down
GigabitEthernet1/0/11,"2020-11-02 07:47:16",Gi1/0/11,759,,,,,,,,Up,Down
GigabitEthernet1/0/12,"2020-11-02 07:47:16",Gi1/0/12,759,,,,,,,,Up,Down
GigabitEthernet1/0/13,"2020-11-02 07:47:16",Gi1/0/13,414,,,,,,,,Up,Down
GigabitEthernet1/0/14,"2020-11-02 07:47:16",Gi1/0/14,414,,,,,,,,Up,Down
GigabitEthernet1/0/15,"2020-11-02 07:47:16",Gi1/0/15,414,,,,,,,,Up,Down
GigabitEthernet1/0/16,"2020-11-02 07:47:16",Gi1/0/16,414,,,,,,,,Up,Down
GigabitEthernet1/0/17,"2020-11-02 07:47:16",Gi1/0/17,414,,,,,,,,Up,Down
GigabitEthernet1/0/18,"2020-11-02 07:47:16",Gi1/0/18,414,,,,,,,,Up,Down
GigabitEthernet1/0/19,"2020-11-02 07:47:16",Gi1/0/19,414,,,,,,,,Up,Down
GigabitEthernet1/0/20,"2020-11-02 07:47:16",Gi1/0/20,414,,,,,,,,Up,Down
GigabitEthernet1/0/21,"2020-11-02 07:47:16",Gi1/0/21,414,,,,,,,,Up,Down
GigabitEthernet1/0/22,"2020-11-02 07:47:16",Gi1/0/22,414,,,,,,,,Up,Down
GigabitEthernet1/0/23,"2020-11-02 07:47:16",Gi1/0/23,414,,,,,,,,Up,Down
GigabitEthernet1/0/24,"2020-11-02 07:47:16",Gi1/0/24,414,,,,,,,,Up,Down
GigabitEthernet1/0/25,"2020-11-02 07:47:16",Gi1/0/25,756,,,,,,,,Up,Down
GigabitEthernet1/0/26,"2020-11-02 07:47:16",Gi1/0/26,756,,,,,,,,Up,Down
GigabitEthernet1/0/27,"2020-11-02 07:47:16",Gi1/0/27,756,,,,,,,,Up,Down
GigabitEthernet1/0/28,"2020-11-02 07:47:16",Gi1/0/28,756,,,,,,,,Up,Down
GigabitEthernet1/0/29,"2020-11-02 07:47:16",Gi1/0/29,756,,,,,,,,Up,Down
GigabitEthernet1/0/30,"2020-11-02 07:47:16",Gi1/0/30,756,,,,,,,,Up,Down
GigabitEthernet1/0/31,"2020-11-02 07:47:16",Gi1/0/31,756,,,,,,,,Up,Down
GigabitEthernet1/0/32,"2020-11-02 07:47:16",Gi1/0/32,756,,,,,,,,Up,Down
GigabitEthernet1/0/33,"2020-11-02 07:47:16",Gi1/0/33,756,,,,,,,,Up,Down
GigabitEthernet1/0/34,"2020-11-02 07:47:16",Gi1/0/34,756,,,,,,,,Up,Down
GigabitEthernet1/0/35,"2020-11-02 07:47:16",Gi1/0/35,756,,,,,,,,Up,Down
GigabitEthernet1/0/36,"2020-11-02 07:47:16",Gi1/0/36,756,,,,,,,,Up,Down
GigabitEthernet1/0/37,"2020-11-02 07:47:16",Gi1/0/37,756,,,,,,,,Up,Down
GigabitEthernet1/0/38,"2020-11-02 07:47:16",Gi1/0/38,756,,,,,,,,Up,Down
GigabitEthernet1/0/39,"2020-11-02 07:47:16",Gi1/0/39,756,,,,,,,,Up,Down
GigabitEthernet1/0/40,"2020-11-02 07:47:16",Gi1/0/40,756,,,,,,,,Up,Down
GigabitEthernet1/0/41,"2020-11-02 07:47:16",Gi1/0/41,756,,,,,,,,Up,Down
GigabitEthernet1/0/42,"2020-11-02 07:47:16",Gi1/0/42,756,,,,,,,,Up,Down
GigabitEthernet1/0/43,"2020-11-02 07:47:16",Gi1/0/43,756,,,,,,,,Up,Down
GigabitEthernet1/0/44,"2020-11-02 07:47:16",Gi1/0/44,756,,,,,,,,Up,Down
GigabitEthernet1/0/45,"2020-11-02 07:47:16",Gi1/0/45,756,,,,,,,,Up,Down
GigabitEthernet1/0/46,"2020-11-02 07:47:16",Gi1/0/46,756,,,,,,,,Up,Down
GigabitEthernet1/0/47,"2020-11-02 07:47:16",Gi1/0/47,756,,,,,,,,Up,Down
GigabitEthernet1/0/48,"2020-11-02 07:47:16",Gi1/0/48,756,,,,,,,,Up,Down
GigabitEthernet1/1/1,"2020-11-02 07:47:40","chanzs1 Gi2/48","1,414,756,759,3300",,,,,,172.30.13.152,chanzs1.sw,Up,Up
GigabitEthernet1/1/2,"2020-11-02 07:47:15",Gi1/1/2,1,,,,,,,,Down,Down
Null0,"2020-11-02 07:43:16",Nu0,,,,,,,,,Up,Up
TenGigabitEthernet1/1/3,"2020-11-02 07:47:15",Te1/1/3,1,,,,,,,,Down,Down
TenGigabitEthernet1/1/4,"2020-11-02 07:47:15",Te1/1/4,1,,,,,,,,Down,Down
Vlan1,"2020-11-02 07:47:15",Vl1,1,,,,,,,,Down,Down
Vlan3300,"2020-11-02 07:47:44",Vl3300,3300,,,,,,,,Up,Up
