Port,"Last Change",Name,"VLAN Membership","Node MAC","Archived Node","Node IP","Node DNS","Archived IP","Neighbor IP","Neighbor DNS","Port Setting","Port Status"
FastEthernet0/1,"2020-11-02 07:45:50",Fa0/1,226,,,,,,,,Up,Down
FastEthernet0/2,"2020-11-02 07:45:50",Fa0/2,226,,,,,,,,Up,Down
FastEthernet0/3,"2020-11-02 07:45:50",Fa0/3,226,,,,,,,,Up,Down
FastEthernet0/4,"2020-11-02 07:45:50",Fa0/4,226,,,,,,,,Up,Down
FastEthernet0/5,"2020-11-02 07:45:50",Fa0/5,226,,,,,,,,Up,Down
FastEthernet0/6,"2020-11-02 07:45:50",Fa0/6,226,,,,,,,,Up,Down
FastEthernet0/7,"2020-11-02 07:45:50",Fa0/7,226,,,,,,,,Up,Down
FastEthernet0/8,"2020-12-18 17:30:51",Fa0/8,226,f4:30:b9:1a:86:24,No,149.171.82.239,l-5cg72359nv.ad.unsw.edu.au,No,,,Up,Down
FastEthernet0/9,"2020-12-10 15:09:11",Fa0/9,226,40:b0:34:45:54:0c,No,149.171.82.60,w-aud7490l2x.ad.unsw.edu.au,No,,,Up,Up
FastEthernet0/10,"2020-11-02 07:45:50",Fa0/10,226,,,,,,,,Up,Down
FastEthernet0/11,"2020-11-02 07:45:50",Fa0/11,226,,,,,,,,Up,Down
FastEthernet0/12,"2020-11-02 07:45:50",Fa0/12,226,,,,,,,,Up,Down
FastEthernet0/13,"2020-11-02 07:45:50",Fa0/13,319,,,,,,,,Up,Down
FastEthernet0/14,"2020-11-02 07:45:50",Fa0/14,319,,,,,,,,Up,Down
FastEthernet0/15,"2020-11-02 07:45:50",Fa0/15,319,,,,,,,,Up,Down
FastEthernet0/16,"2020-11-02 07:45:50",Fa0/16,319,,,,,,,,Up,Down
FastEthernet0/17,"2020-11-02 07:45:50",Fa0/17,319,,,,,,,,Up,Down
FastEthernet0/18,"2020-11-02 07:45:50",Fa0/18,319,,,,,,,,Up,Down
FastEthernet0/19,"2020-11-02 07:45:50",Fa0/19,319,,,,,,,,Up,Down
FastEthernet0/20,"2020-11-02 07:45:50",Fa0/20,319,,,,,,,,Up,Down
FastEthernet0/21,"2020-11-02 07:45:50",Fa0/21,319,,,,,,,,Up,Down
FastEthernet0/22,"2020-11-02 07:45:50",Fa0/22,319,,,,,,,,Up,Down
FastEthernet0/23,"2020-11-02 07:45:50",Fa0/23,319,,,,,,,,Up,Down
FastEthernet0/24,"2020-11-02 07:45:50",Fa0/24,319,,,,,,,,Up,Down
FastEthernet0/25,"2020-11-02 07:45:50",Fa0/25,449,,,,,,,,Up,Down
FastEthernet0/26,"2020-11-02 07:45:50",Fa0/26,449,,,,,,,,Up,Down
FastEthernet0/27,"2020-11-02 07:45:50",Fa0/27,449,,,,,,,,Up,Down
FastEthernet0/28,"2020-11-02 07:45:50",Fa0/28,449,,,,,,,,Up,Down
FastEthernet0/29,"2020-11-02 07:45:50",Fa0/29,449,,,,,,,,Up,Down
FastEthernet0/30,"2020-11-02 07:45:50",Fa0/30,449,,,,,,,,Up,Down
FastEthernet0/31,"2020-11-02 07:45:50",Fa0/31,449,,,,,,,,Up,Down
FastEthernet0/32,"2020-11-02 07:45:50",Fa0/32,449,,,,,,,,Up,Down
FastEthernet0/33,"2020-11-02 07:45:50",Fa0/33,449,,,,,,,,Up,Down
FastEthernet0/34,"2020-11-02 07:45:50",Fa0/34,449,,,,,,,,Up,Down
FastEthernet0/35,"2020-11-02 07:45:50",Fa0/35,449,,,,,,,,Up,Down
FastEthernet0/36,"2020-11-02 07:45:50",Fa0/36,449,,,,,,,,Up,Down
FastEthernet0/37,"2020-11-02 07:45:50",Fa0/37,756,,,,,,,,Up,Down
FastEthernet0/38,"2020-11-02 07:45:50",Fa0/38,756,,,,,,,,Up,Down
FastEthernet0/39,"2020-11-02 07:45:50",Fa0/39,756,,,,,,,,Up,Down
FastEthernet0/40,"2020-11-02 07:45:50",Fa0/40,756,,,,,,,,Up,Down
FastEthernet0/41,"2020-11-02 07:45:50",Fa0/41,756,,,,,,,,Up,Down
FastEthernet0/42,"2020-11-02 07:45:50",Fa0/42,756,,,,,,,,Up,Down
FastEthernet0/43,"2020-11-02 07:45:50",Fa0/43,756,,,,,,,,Up,Down
FastEthernet0/44,"2020-11-02 07:45:50",Fa0/44,756,,,,,,,,Up,Down
FastEthernet0/45,"2020-11-02 07:45:50",Fa0/45,756,,,,,,,,Up,Down
FastEthernet0/46,"2020-11-02 07:45:50",Fa0/46,756,,,,,,,,Up,Down
FastEthernet0/47,"2020-11-02 07:45:50",Fa0/47,756,,,,,,,,Up,Down
FastEthernet0/48,"2020-11-02 07:45:50",Fa0/48,756,,,,,,,,Up,Down
GigabitEthernet0/1,"2020-11-02 07:45:53","chanzs1 Gi2/17","1,226,319,449,756,3300",,,,,,172.30.13.152,chanzs1.sw,Up,Up
GigabitEthernet0/1,"2020-11-02 07:45:53","chanzs1 Gi2/17","1,226,319,449,756,3300",,,,,,172.30.13.152,chanzs1.sw,Up,Up
GigabitEthernet0/1,"2020-11-02 07:45:53","chanzs1 Gi2/17","1,226,319,449,756,3300",,,,,,172.30.13.152,chanzs1.sw,Up,Up
GigabitEthernet0/1,"2020-11-02 07:45:53","chanzs1 Gi2/17","1,226,319,449,756,3300",,,,,,172.30.13.152,chanzs1.sw,Up,Up
GigabitEthernet0/2,"2020-11-02 07:45:49",Gi0/2,1,,,,,,,,Down,Down
Null0,"2020-11-02 07:45:01",Nu0,,,,,,,,,Up,Up
Vlan1,"2020-11-02 07:45:49",Vl1,1,,,,,,,,Down,Down
Vlan3300,"2020-11-02 07:45:53",Vl3300,3300,,,,,,,,Up,Up
